Model: pyannote/speaker-diarization-community-1
Dataset: msdwild
NOTE: Run stopped early — time limit of 0.8h reached.
      Only 437 file(s) were processed.
Total elapsed: 00:45:03
============================================================

PER FILE:
File                            Dur(s)     DER     JER    Miss      FA    Conf
00110                            176.0   0.720   0.794   0.127   0.185   0.407
00111                             35.4   0.053   0.053   0.019   0.034   0.000
00112                             21.6   0.654   0.700   0.154   0.207   0.292
00113                             22.2   0.095   0.093   0.011   0.084   0.000
00114                             36.7   0.090   0.112   0.052   0.037   0.002
00115                             20.0   0.216   0.391   0.100   0.031   0.085
00116                             61.0   0.169   0.685   0.010   0.022   0.137
00117                             39.3   0.274   0.424   0.101   0.043   0.131
00118                             29.3   0.181   0.484   0.070   0.039   0.073
00119                             68.4   0.115   0.525   0.064   0.017   0.034
00120                             47.3   0.500   0.708   0.175   0.148   0.178
00121                             30.3   0.578   0.776   0.041   0.096   0.441
00122                            159.5   0.475   0.723   0.077   0.143   0.255
00123                             23.3   0.311   0.626   0.121   0.049   0.140
00124                             41.2   0.107   0.155   0.054   0.050   0.002
00125                             53.7   0.089   0.414   0.027   0.021   0.042
00126                             20.9   0.396   0.522   0.157   0.053   0.186
00127                             50.9   0.622   0.678   0.143   0.129   0.350
00128                             32.4   0.662   0.824   0.058   0.178   0.426
00129                            339.5   0.040   0.040   0.022   0.017   0.001
00130                             20.1   0.337   0.549   0.115   0.064   0.158
00131                             22.4   0.713   0.821   0.275   0.130   0.308
00132                             20.7   0.582   0.839   0.157   0.036   0.390
00133                             38.5   0.192   0.203   0.127   0.062   0.004
00134                             50.8   0.416   0.605   0.159   0.099   0.159
00135                             28.4   0.070   0.203   0.014   0.056   0.000
00136                             31.1   0.266   0.381   0.099   0.026   0.141
00137                            116.6   0.219   0.341   0.055   0.037   0.127
00138                            474.4   0.060   0.097   0.031   0.028   0.002
00139                             26.9   0.096   0.097   0.058   0.037   0.001
00140                             37.8   0.480   0.715   0.045   0.091   0.344
00141                             30.4   0.194   0.461   0.075   0.034   0.085
00142                             56.5   0.072   0.089   0.024   0.028   0.020
00143                             37.9   0.525   0.828   0.147   0.111   0.267
00144                             29.6   0.698   0.829   0.285   0.078   0.335
00145                             31.6   0.302   0.510   0.116   0.051   0.135
00146                             47.4   0.634   0.825   0.287   0.068   0.279
00147                             48.6   0.307   0.545   0.025   0.109   0.173
00148                             51.5   0.105   0.107   0.064   0.037   0.004
00149                            155.1   0.234   0.618   0.099   0.054   0.081
00150                             48.1   0.061   0.066   0.013   0.040   0.008
00151                             23.5   0.354   0.537   0.177   0.029   0.148
00152                             35.5   0.227   0.549   0.088   0.074   0.065
00153                             22.5   0.289   0.572   0.077   0.018   0.193
00154                             83.1   0.419   0.701   0.150   0.058   0.212
00155                             28.6   0.461   0.588   0.107   0.099   0.255
00156                             26.9   0.266   0.453   0.134   0.069   0.063
00157                             36.8   0.201   0.223   0.082   0.075   0.044
00158                             22.0   0.320   0.492   0.100   0.154   0.067
00159                             30.4   0.649   0.815   0.177   0.069   0.403
00160                             24.8   0.523   0.762   0.033   0.071   0.418
00161                             28.7   0.245   0.209   0.081   0.159   0.004
00162                             25.0   0.475   0.836   0.113   0.106   0.256
00163                             28.4   0.346   0.481   0.031   0.154   0.160
00164                             57.3   0.206   0.258   0.065   0.045   0.097
00165                             29.9   0.139   0.148   0.088   0.036   0.014
00166                             20.7   0.508   0.441   0.073   0.316   0.119
00167                            148.5   0.087   0.082   0.032   0.052   0.003
00168                             34.8   0.073   0.083   0.035   0.034   0.005
00169                            118.5   0.319   0.522   0.111   0.041   0.166
00170                             44.4   0.472   0.681   0.178   0.104   0.190
00171                             40.4   0.030   0.031   0.018   0.011   0.001
00172                             62.4   0.117   0.128   0.089   0.013   0.015
00173                             20.6   0.224   0.542   0.043   0.025   0.156
00174                             22.7   0.534   0.757   0.168   0.072   0.294
00175                             42.3   0.129   0.406   0.064   0.049   0.016
00176                             38.1   0.118   0.119   0.059   0.052   0.007
00177                             36.2   0.047   0.070   0.019   0.028   0.000
00178                             59.5   0.060   0.064   0.033   0.022   0.006
00179                             26.1   0.564   0.784   0.156   0.070   0.338
00180                             28.3   0.364   0.556   0.083   0.027   0.254
00181                             41.7   0.499   0.687   0.102   0.107   0.289
00182                             53.3   0.233   0.571   0.066   0.036   0.130
00183                             40.3   0.496   0.813   0.080   0.154   0.261
00184                            111.2   0.068   0.067   0.031   0.035   0.002
00185                           1048.0   0.099   0.110   0.050   0.035   0.015
00186                             34.9   0.127   0.134   0.104   0.017   0.005
00187                             72.9   0.357   0.596   0.052   0.092   0.213
00188                           1971.8   0.132   0.177   0.039   0.060   0.033
00189                            124.8   0.075   0.075   0.030   0.038   0.008
00190                             24.5   0.090   0.090   0.035   0.052   0.002
00191                             22.5   0.369   0.574   0.173   0.036   0.160
00192                             65.3   0.162   0.586   0.055   0.053   0.055
00193                             30.1   0.378   0.781   0.071   0.110   0.197
00194                             25.6   0.476   0.716   0.197   0.041   0.238
00195                             59.2   0.499   0.590   0.221   0.084   0.194
00196                             43.7   0.162   0.234   0.041   0.083   0.039
00197                             38.3   0.651   0.755   0.186   0.154   0.310
00198                             52.3   0.478   0.718   0.174   0.082   0.222
00199                             29.2   0.136   0.140   0.056   0.070   0.010
00200                             44.2   0.241   0.470   0.090   0.061   0.090
00201                             33.9   0.058   0.067   0.013   0.038   0.006
00202                             56.4   0.155   0.287   0.025   0.102   0.028
00203                             81.5   0.359   0.353   0.134   0.053   0.171
00204                             25.6   0.086   0.085   0.050   0.033   0.003
00205                             21.5   0.130   0.142   0.067   0.057   0.006
00206                           1200.0   0.075   0.074   0.035   0.037   0.003
00207                             90.1   0.244   0.492   0.083   0.035   0.126
00208                             76.6   0.130   0.139   0.064   0.049   0.017
00209                             68.8   0.040   0.049   0.014   0.025   0.001
00210                             26.9   0.305   0.539   0.085   0.091   0.129
00211                             25.4   0.212   0.536   0.063   0.102   0.047
00212                             29.7   0.144   0.256   0.028   0.089   0.028
00213                            570.2   0.145   0.300   0.060   0.047   0.038
00214                             84.8   0.203   0.175   0.030   0.165   0.009
00215                             20.7   0.102   0.116   0.020   0.077   0.004
00216                             63.3   0.098   0.104   0.065   0.031   0.002
00217                             64.1   0.343   0.476   0.045   0.059   0.239
00218                             25.2   0.247   0.575   0.089   0.092   0.067
00219                             87.1   0.193   0.242   0.083   0.045   0.065
00220                             23.4   0.057   0.067   0.019   0.032   0.007
00221                             26.3   0.411   0.655   0.047   0.022   0.342
00222                             70.4   0.206   0.489   0.053   0.071   0.082
00223                           1054.0   0.119   0.133   0.065   0.040   0.013
00224                            140.2   0.155   0.190   0.051   0.072   0.031
00225                             27.7   0.628   0.754   0.246   0.089   0.294
00226                             21.9   0.596   0.837   0.087   0.089   0.419
00227                             38.7   0.163   0.577   0.005   0.046   0.111
00228                             26.4   0.443   0.436   0.118   0.195   0.131
00229                            113.5   0.635   0.855   0.244   0.056   0.335
00230                             61.6   0.493   0.738   0.155   0.034   0.305
00231                             28.6   0.625   0.760   0.018   0.197   0.411
00232                             31.9   0.092   0.081   0.029   0.057   0.006
00233                             27.7   0.551   0.782   0.409   0.015   0.127
00234                             36.5   0.340   0.671   0.055   0.091   0.195
00235                             21.7   0.527   0.724   0.087   0.211   0.229
00236                             23.8   0.271   0.557   0.148   0.081   0.042
00237                            100.0   0.062   0.125   0.043   0.011   0.007
00238                            161.9   0.209   0.235   0.053   0.096   0.060
00239                             20.2   0.221   0.475   0.065   0.047   0.110
00240                             24.9   0.500   0.704   0.033   0.089   0.378
00241                            564.5   0.342   0.685   0.209   0.044   0.089
00242                             45.9   0.598   0.794   0.143   0.074   0.380
00243                             32.9   0.180   0.517   0.022   0.004   0.154
00244                             22.1   0.113   0.108   0.038   0.074   0.001
00245                             20.4   0.327   0.633   0.028   0.080   0.219
00246                             24.9   0.172   0.460   0.056   0.011   0.104
00247                             25.4   0.222   0.271   0.041   0.159   0.023
00248                             34.4   0.475   0.699   0.279   0.016   0.180
00249                             29.4   0.189   0.714   0.050   0.058   0.080
00250                             62.0   0.469   0.724   0.199   0.076   0.194
00251                            104.2   0.059   0.142   0.024   0.025   0.010
00252                            100.2   0.084   0.090   0.049   0.030   0.004
00253                             38.8   0.182   0.334   0.127   0.008   0.047
00254                             21.6   0.835   0.926   0.506   0.112   0.218
00255                            128.5   0.088   0.091   0.043   0.039   0.006
00256                             79.3   0.165   0.483   0.063   0.040   0.062
00257                            136.6   0.405   0.590   0.150   0.025   0.229
00258                             25.2   0.020   0.020   0.007   0.013   0.000
00259                             30.3   0.212   0.622   0.051   0.066   0.096
00260                            103.7   0.259   0.191   0.036   0.223   0.000
00261                            141.5   0.199   0.285   0.078   0.038   0.083
00262                             24.6   0.060   0.064   0.019   0.041   0.000
00263                             21.7   0.248   0.503   0.118   0.057   0.072
00264                             43.8   0.117   0.147   0.061   0.056   0.000
00265                             23.8   0.431   0.649   0.310   0.075   0.047
00266                             46.6   0.509   0.713   0.146   0.108   0.254
00267                             92.9   0.147   0.190   0.054   0.056   0.038
00268                             48.8   0.114   0.389   0.054   0.044   0.016
00269                             35.3   0.447   0.732   0.186   0.073   0.188
00270                             28.4   0.396   0.570   0.089   0.131   0.176
00271                             85.9   0.298   0.714   0.010   0.155   0.133
00272                             74.7   0.067   0.473   0.017   0.021   0.029
00273                            329.6   0.068   0.068   0.039   0.028   0.001
00274                            442.6   0.103   0.126   0.051   0.025   0.027
00275                             51.5   0.111   0.132   0.046   0.064   0.001
00276                             31.9   0.134   0.479   0.073   0.061   0.000
00277                             46.7   0.545   0.618   0.048   0.200   0.297
