Model: pyannote/speaker-diarization-3.1
Dataset: msdwild
NOTE: Run stopped early — time limit of 0.8h reached.
      Only 413 file(s) were processed.
Total elapsed: 00:45:09
============================================================

PER FILE:
File                            Dur(s)     DER     JER    Miss      FA    Conf
00110                            176.0   0.696   0.785   0.127   0.185   0.383
00111                             35.4   0.340   0.262   0.019   0.034   0.287
00112                             21.6   0.609   0.650   0.154   0.207   0.248
00113                             22.2   0.210   0.244   0.011   0.084   0.115
00114                             36.7   0.090   0.112   0.052   0.037   0.002
00115                             20.0   0.366   0.480   0.100   0.031   0.235
00116                             61.0   0.239   0.731   0.010   0.022   0.207
00117                             39.3   0.274   0.424   0.101   0.043   0.131
00118                             29.3   0.165   0.296   0.070   0.039   0.056
00119                             68.4   0.115   0.525   0.064   0.017   0.034
00120                             47.3   0.708   0.775   0.175   0.148   0.385
00121                             30.3   0.578   0.776   0.041   0.096   0.441
00122                            159.5   0.611   0.838   0.077   0.143   0.392
00123                             23.3   0.464   0.716   0.121   0.049   0.293
00124                             41.2   0.111   0.166   0.054   0.050   0.006
00125                             53.7   0.089   0.414   0.027   0.021   0.042
00126                             20.9   0.483   0.523   0.157   0.053   0.274
00127                             50.9   0.639   0.660   0.143   0.129   0.367
00128                             32.4   0.708   0.767   0.058   0.178   0.471
00129                            339.5   0.040   0.040   0.022   0.017   0.001
00130                             20.1   0.179   0.194   0.115   0.064   0.000
00131                             22.4   0.529   0.644   0.275   0.130   0.123
00132                             20.7   0.582   0.839   0.157   0.036   0.390
00133                             38.5   0.295   0.325   0.127   0.062   0.106
00134                             50.8   0.656   0.699   0.159   0.099   0.398
00135                             28.4   0.070   0.203   0.014   0.056   0.000
00136                             31.1   0.211   0.283   0.099   0.026   0.086
00137                            116.6   0.267   0.527   0.055   0.037   0.175
00138                            474.4   0.060   0.097   0.031   0.028   0.002
00139                             26.9   0.261   0.261   0.058   0.037   0.167
00140                             37.8   0.215   0.210   0.045   0.091   0.079
00141                             30.4   0.266   0.476   0.075   0.034   0.157
00142                             56.5   0.072   0.089   0.024   0.028   0.020
00143                             37.9   0.733   0.826   0.147   0.111   0.476
00144                             29.6   0.651   0.707   0.285   0.078   0.289
00145                             31.6   0.274   0.350   0.116   0.051   0.107
00146                             47.4   0.540   0.635   0.287   0.068   0.186
00147                             48.6   0.172   0.217   0.025   0.109   0.037
00148                             51.5   0.105   0.107   0.064   0.037   0.004
00149                            155.1   0.228   0.612   0.099   0.054   0.074
00150                             48.1   0.061   0.066   0.013   0.040   0.008
00151                             23.5   0.294   0.361   0.177   0.029   0.088
00152                             35.5   0.180   0.492   0.088   0.074   0.019
00153                             22.5   0.493   0.590   0.077   0.018   0.398
00154                             83.1   0.466   0.679   0.150   0.058   0.259
00155                             28.6   0.479   0.647   0.107   0.099   0.273
00156                             26.9   0.363   0.472   0.134   0.069   0.160
00157                             36.8   0.588   0.555   0.082   0.075   0.432
00158                             22.0   0.320   0.492   0.100   0.154   0.067
00159                             30.4   0.586   0.689   0.177   0.069   0.340
00160                             24.8   0.242   0.362   0.033   0.071   0.138
00161                             28.7   0.474   0.403   0.081   0.159   0.234
00162                             25.0   0.479   0.834   0.113   0.106   0.261
00163                             28.4   0.346   0.481   0.031   0.154   0.160
00164                             57.3   0.284   0.334   0.065   0.045   0.175
00165                             29.9   0.218   0.230   0.088   0.036   0.093
00166                             20.7   0.587   0.399   0.073   0.316   0.198
00167                            148.5   0.087   0.082   0.032   0.052   0.003
00168                             34.8   0.073   0.083   0.035   0.034   0.005
00169                            118.5   0.312   0.514   0.111   0.041   0.159
00170                             44.4   0.652   0.697   0.178   0.104   0.371
00171                             40.4   0.198   0.209   0.018   0.011   0.169
00172                             62.4   0.117   0.128   0.089   0.013   0.015
00173                             20.6   0.068   0.094   0.043   0.025   0.000
00174                             22.7   0.594   0.756   0.168   0.072   0.354
00175                             42.3   0.312   0.496   0.064   0.049   0.199
00176                             38.1   0.275   0.294   0.059   0.052   0.164
00177                             36.2   0.047   0.070   0.019   0.028   0.000
00178                             59.5   0.060   0.064   0.033   0.022   0.006
00179                             26.1   0.507   0.698   0.156   0.070   0.280
00180                             28.3   0.396   0.461   0.083   0.027   0.286
00181                             41.7   0.609   0.648   0.102   0.107   0.399
00182                             53.3   0.233   0.571   0.066   0.036   0.130
00183                             40.3   0.664   0.714   0.080   0.154   0.429
00184                            111.2   0.068   0.067   0.031   0.035   0.002
00185                           1048.0   0.097   0.106   0.050   0.035   0.013
00186                             34.9   0.277   0.317   0.104   0.017   0.155
00187                             72.9   0.224   0.287   0.052   0.092   0.080
00188                           1971.8   0.132   0.178   0.039   0.060   0.032
00189                            124.8   0.079   0.081   0.030   0.038   0.012
00190                             24.5   0.295   0.245   0.035   0.052   0.207
00191                             22.5   0.369   0.574   0.173   0.036   0.160
00192                             65.3   0.162   0.586   0.055   0.053   0.055
00193                             30.1   0.378   0.781   0.071   0.110   0.197
00194                             25.6   0.389   0.492   0.197   0.041   0.151
00195                             59.2   0.713   0.669   0.221   0.084   0.407
00196                             43.7   0.405   0.422   0.041   0.083   0.282
00197                             38.3   0.511   0.519   0.186   0.154   0.171
00198                             52.3   0.533   0.649   0.174   0.082   0.277
00199                             29.2   0.133   0.133   0.056   0.070   0.007
00200                             44.2   0.164   0.270   0.090   0.061   0.013
00201                             33.9   0.058   0.067   0.013   0.038   0.006
00202                             56.4   0.155   0.287   0.025   0.102   0.028
00203                             81.5   0.219   0.228   0.134   0.053   0.031
00204                             25.6   0.086   0.085   0.050   0.033   0.003
00205                             21.5   0.130   0.142   0.067   0.057   0.006
00206                           1200.0   0.073   0.070   0.035   0.037   0.001
00207                             90.1   0.220   0.465   0.083   0.035   0.102
00208                             76.6   0.124   0.128   0.064   0.049   0.011
00209                             68.8   0.115   0.166   0.014   0.025   0.075
00210                             26.9   0.542   0.619   0.085   0.091   0.366
00211                             25.4   0.212   0.536   0.063   0.102   0.047
00212                             29.7   0.144   0.256   0.028   0.089   0.028
00213                            570.2   0.135   0.279   0.060   0.047   0.029
00214                             84.8   0.329   0.344   0.030   0.165   0.135
00215                             20.7   0.102   0.116   0.020   0.077   0.004
00216                             63.3   0.186   0.228   0.065   0.031   0.090
00217                             64.1   0.347   0.387   0.045   0.059   0.243
00218                             25.2   0.247   0.575   0.089   0.092   0.067
00219                             87.1   0.250   0.350   0.083   0.045   0.122
00220                             23.4   0.215   0.194   0.019   0.032   0.165
00221                             26.3   0.411   0.655   0.047   0.022   0.342
00222                             70.4   0.253   0.535   0.053   0.071   0.129
00223                           1054.0   0.119   0.133   0.065   0.040   0.013
00224                            140.2   0.162   0.205   0.051   0.072   0.038
00225                             27.7   0.640   0.717   0.246   0.089   0.305
00226                             21.9   0.629   0.730   0.087   0.089   0.452
00227                             38.7   0.052   0.075   0.005   0.046   0.000
00228                             26.4   0.660   0.578   0.118   0.195   0.348
00229                            113.5   0.584   0.771   0.244   0.056   0.284
00230                             61.6   0.343   0.510   0.155   0.034   0.154
00231                             28.6   0.221   0.184   0.018   0.197   0.007
00232                             31.9   0.092   0.081   0.029   0.057   0.006
00233                             27.7   0.575   0.773   0.409   0.015   0.151
00234                             36.5   0.340   0.671   0.055   0.091   0.195
00235                             21.7   0.507   0.711   0.087   0.211   0.208
00236                             23.8   0.271   0.557   0.148   0.081   0.042
00237                            100.0   0.061   0.125   0.043   0.011   0.006
00238                            161.9   0.300   0.483   0.053   0.096   0.151
00239                             20.2   0.221   0.475   0.065   0.047   0.110
00240                             24.9   0.263   0.335   0.033   0.089   0.141
00241                            564.5   0.410   0.773   0.209   0.044   0.157
00242                             45.9   0.461   0.727   0.143   0.074   0.243
00243                             32.9   0.107   0.235   0.022   0.004   0.081
00244                             22.1   0.113   0.108   0.038   0.074   0.001
00245                             20.4   0.175   0.221   0.028   0.080   0.067
00246                             24.9   0.069   0.143   0.056   0.011   0.001
00247                             25.4   0.222   0.271   0.041   0.159   0.023
00248                             34.4   0.406   0.598   0.279   0.016   0.112
00249                             29.4   0.189   0.714   0.050   0.058   0.080
00250                             62.0   0.467   0.671   0.199   0.076   0.191
00251                            104.2   0.134   0.446   0.024   0.025   0.086
00252                            100.2   0.089   0.104   0.049   0.030   0.010
00253                             38.8   0.182   0.334   0.127   0.008   0.047
00254                             21.6   0.720   0.801   0.506   0.112   0.103
00255                            128.5   0.090   0.098   0.043   0.039   0.008
00256                             79.3   0.165   0.483   0.063   0.040   0.062
00257                            136.6   0.315   0.411   0.150   0.025   0.139
00258                             25.2   0.020   0.020   0.007   0.013   0.000
00259                             30.3   0.212   0.622   0.051   0.066   0.096
00260                            103.7   0.259   0.191   0.036   0.223   0.000
00261                            141.5   0.185   0.262   0.078   0.038   0.069
00262                             24.6   0.223   0.263   0.019   0.041   0.163
00263                             21.7   0.406   0.613   0.118   0.057   0.231
00264                             43.8   0.375   0.399   0.061   0.056   0.258
00265                             23.8   0.431   0.648   0.310   0.075   0.046
00266                             46.6   0.608   0.679   0.146   0.108   0.353
00267                             92.9   0.147   0.188   0.054   0.056   0.037
00268                             48.8   0.114   0.388   0.054   0.044   0.016
00269                             35.3   0.572   0.753   0.186   0.073   0.313
00270                             28.4   0.389   0.564   0.089   0.131   0.169
00271                             85.9   0.269   0.679   0.010   0.155   0.104
00272                             74.7   0.067   0.473   0.017   0.021   0.029
00273                            329.6   0.068   0.068   0.039   0.028   0.001
00274                            442.6   0.097   0.114   0.051   0.025   0.021
00275                             51.5   0.128   0.156   0.046   0.064   0.018
00276                             31.9   0.312   0.459   0.073   0.061   0.177
00277                             46.7   0.407   0.422   0.048   0.200   0.158
00278                             32.9   0.334   0.575   0.044   0.030   0.260
00279                             37.9   0.379   0.423   0.262   0.032   0.085
00280                             56.3   0.197   0.261   0.055   0.053   0.089
00281                             34.3   0.440   0.557   0.181   0.088   0.171
00282                             62.1   0.135   0.150   0.083   0.037   0.016
00283                             22.3   0.372   0.399   0.160   0.032   0.180
00284                             31.3   0.093   0.266   0.010   0.060   0.023
00285                             46.7   0.268   0.440   0.028   0.078   0.162
00286                             44.7   0.225   0.587   0.057   0.084   0.083
00287                            365.7   0.097   0.095   0.041   0.048   0.008
00288                            122.3   0.103   0.398   0.024   0.060   0.020
00289                             43.1   0.187   0.532   0.023   0.043   0.121
00290                            267.1   0.224   0.294   0.083   0.032   0.109
00291                             32.3   0.297   0.302   0.034   0.109   0.153
00292                            207.9   0.153   0.224   0.048   0.063   0.042
00293                             23.8   0.019   0.022   0.002   0.013   0.004
00294                           1692.9   0.118   0.261   0.057   0.034   0.028
00295                            628.0   0.107   0.116   0.028   0.074   0.006
00296                             43.7   0.508   0.517   0.181   0.036   0.290
00297                             25.2   0.504   0.728   0.024   0.094   0.386
00298                             34.1   0.176   0.440   0.087   0.053   0.036
00299                             51.1   0.089   0.079   0.010   0.079   0.000
00300                             21.2   0.416   0.531   0.098   0.033   0.285
00301                             44.8   0.188   0.234   0.080   0.061   0.047
00302                             24.0   0.313   0.583   0.033   0.015   0.265
00303                             85.1   0.058   0.055   0.017   0.040   0.001
00304                             20.1   0.372   0.358   0.134   0.021   0.217
00305                             23.6   0.315   0.551   0.097   0.051   0.167
00306                             25.4   0.375   0.584   0.127   0.025   0.223
00307                             31.8   0.629   0.756   0.198   0.102   0.329
00308                             23.4   0.052   0.051   0.039   0.013   0.000
00309                             62.9   0.141   0.437   0.060   0.053   0.028
00310                            130.5   0.301   0.509   0.045   0.057   0.200
00311                             22.6   0.095   0.094   0.043   0.052   0.000
00312                             30.3   0.323   0.284   0.094   0.069   0.159
00313                             27.7   0.484   0.426   0.067   0.066   0.351
00314                             34.0   0.430   0.609   0.104   0.069   0.258
00315                            238.1   0.066   0.081   0.018   0.044   0.004
00316                             26.7   0.073   0.075   0.048   0.023   0.003
00317                             42.3   0.159   0.470   0.119   0.020   0.021
00318                            140.5   0.491   0.763   0.093   0.126   0.272
